"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-18 00:00","21.93","16.2"
"2021-08-18 01:00","22.75","16.02"
"2021-08-18 02:00","20.62","15.88"
"2021-08-18 03:00","16.66","15.66"
"2021-08-18 04:00","14.42","15.51"
"2021-08-18 05:00","15.54","15.48"
"2021-08-18 06:00","16.27","15.64"
"2021-08-18 07:00","15.34","16.24"
"2021-08-18 08:00","14.78","17.25"
"2021-08-18 09:00","13.35","18.06"
"2021-08-18 10:00","12.66","18.85"
"2021-08-18 11:00","12.49","20.31"
"2021-08-18 12:00","12.6","21.24"
"2021-08-18 13:00","13.14","21.87"
"2021-08-18 14:00","13.55","22.18"
"2021-08-18 15:00","15.72","22.06"
"2021-08-18 16:00","18.32","21.8"
"2021-08-18 17:00","19.04","21.43"
"2021-08-18 18:00","18.72","20.48"
"2021-08-18 19:00","19.53","19.19"
"2021-08-18 20:00","18.69","18.06"
"2021-08-18 21:00","18.88","17.24"
"2021-08-18 22:00","25.82","16.71"
"2021-08-18 23:00","26.75","16.12"
"2021-08-19 00:00","25.05","15.71"
"2021-08-19 01:00","25.0","15.25"
"2021-08-19 02:00","20.82","15.01"
"2021-08-19 03:00","19.98","14.73"
"2021-08-19 04:00","17.29","14.32"
"2021-08-19 05:00","19.14","14.12"
"2021-08-19 06:00","18.21","14.04"
"2021-08-19 07:00","17.8","14.38"
"2021-08-19 08:00","14.57","15.16"
"2021-08-19 09:00","14.01","15.97"
"2021-08-19 10:00","7.38","16.87"
"2021-08-19 11:00","8.92","18.37"
"2021-08-19 12:00","7.05","19.69"
"2021-08-19 13:00","6.36","20.38"
"2021-08-19 14:00","11.36","20.69"
"2021-08-19 15:00","22.82","20.51"
"2021-08-19 16:00","19.44","20.59"
"2021-08-19 17:00","18.97","20.65"
"2021-08-19 18:00","21.54","20.1"
"2021-08-19 19:00","20.82","19.29"
"2021-08-19 20:00","23.24","18.36"
"2021-08-19 21:00","23.92","17.91"
"2021-08-19 22:00","24.21","17.4"
"2021-08-19 23:00","24.13","17.03"
"2021-08-20 00:00","23.4","16.48"
"2021-08-20 01:00","23.37","16.22"
"2021-08-20 02:00","20.27","15.82"
"2021-08-20 03:00","17.9","15.42"
"2021-08-20 04:00","17.44","14.81"
"2021-08-20 05:00","16.26","14.53"
"2021-08-20 06:00","15.83","14.76"
"2021-08-20 07:00","14.7","15.45"
"2021-08-20 08:00","15.03","16.55"
"2021-08-20 09:00","15.44","17.86"
"2021-08-20 10:00","15.26","18.6"
"2021-08-20 11:00","15.65","19.16"
"2021-08-20 12:00","16.1","20.02"
"2021-08-20 13:00","17.16","20.58"
"2021-08-20 14:00","20.61","20.94"
"2021-08-20 15:00","19.18","20.82"
"2021-08-20 16:00","22.05","20.47"
"2021-08-20 17:00","18.42","20.12"
"2021-08-20 18:00","18.37","19.57"
"2021-08-20 19:00","18.69","18.92"
"2021-08-20 20:00","18.77","18.3"
"2021-08-20 21:00","22.72","17.8"
"2021-08-20 22:00","27.33","17.52"
"2021-08-20 23:00","26.73","17.27"
